"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed"
"734","img_pilot/155.png","ArrowRight","image-keyboard-response","157","2.0.0","122789"
"736","img_pilot/156.png","ArrowLeft","image-keyboard-response","158","2.0.0","123529"
"772","img_pilot/157.png","ArrowRight","image-keyboard-response","159","2.0.0","124305"
"645","img_pilot/158.png","ArrowRight","image-keyboard-response","160","2.0.0","124953"
"775","img_pilot/159.png","ArrowLeft","image-keyboard-response","161","2.0.0","125732"
"679","img_pilot/160.png","ArrowLeft","image-keyboard-response","162","2.0.0","126415"
"721","img_pilot/161.png","ArrowLeft","image-keyboard-response","163","2.0.0","127139"
"820","img_pilot/162.png","ArrowLeft","image-keyboard-response","164","2.0.0","127961"
"900","img_pilot/163.png","ArrowRight","image-keyboard-response","165","2.0.0","128865"
"565","img_pilot/164.png","ArrowLeft","image-keyboard-response","166","2.0.0","129433"
"956","img_pilot/165.png","ArrowRight","image-keyboard-response","167","2.0.0","130392"
"608","img_pilot/166.png","ArrowLeft","image-keyboard-response","168","2.0.0","131003"
"670","img_pilot/167.png","ArrowLeft","image-keyboard-response","169","2.0.0","131677"
"753","img_pilot/168.png","ArrowRight","image-keyboard-response","170","2.0.0","132434"
"671","img_pilot/169.png","ArrowLeft","image-keyboard-response","171","2.0.0","133107"
"634","img_pilot/170.png","ArrowRight","image-keyboard-response","172","2.0.0","133745"
"733","img_pilot/171.png","ArrowRight","image-keyboard-response","173","2.0.0","134483"
"514","img_pilot/172.png","ArrowLeft","image-keyboard-response","174","2.0.0","135000"
"589","img_pilot/173.png","ArrowRight","image-keyboard-response","175","2.0.0","135592"
"737","img_pilot/174.png","ArrowLeft","image-keyboard-response","176","2.0.0","136332"
"754","img_pilot/175.png","ArrowRight","image-keyboard-response","177","2.0.0","137090"
"918","img_pilot/176.png","ArrowRight","image-keyboard-response","178","2.0.0","138011"
"554","img_pilot/177.png","ArrowLeft","image-keyboard-response","179","2.0.0","138567"
"566","img_pilot/178.png","ArrowRight","image-keyboard-response","180","2.0.0","139136"
"711","img_pilot/179.png","ArrowRight","image-keyboard-response","181","2.0.0","139850"
"706","img_pilot/180.png","ArrowRight","image-keyboard-response","182","2.0.0","140561"
"521","img_pilot/181.png","ArrowLeft","image-keyboard-response","183","2.0.0","141085"
"566","img_pilot/182.png","ArrowRight","image-keyboard-response","184","2.0.0","141654"
"805","img_pilot/183.png","ArrowRight","image-keyboard-response","185","2.0.0","142463"
"652","img_pilot/184.png","ArrowRight","image-keyboard-response","186","2.0.0","143119"
"784","img_pilot/185.png","ArrowLeft","image-keyboard-response","187","2.0.0","143906"
"548","img_pilot/186.png","ArrowRight","image-keyboard-response","188","2.0.0","144457"
"556","img_pilot/187.png","ArrowLeft","image-keyboard-response","189","2.0.0","145017"
"723","img_pilot/188.png","ArrowLeft","image-keyboard-response","190","2.0.0","145744"
"674","img_pilot/189.png","ArrowRight","image-keyboard-response","191","2.0.0","146421"
"635","img_pilot/190.png","ArrowLeft","image-keyboard-response","192","2.0.0","147059"
"744","img_pilot/191.png","ArrowLeft","image-keyboard-response","193","2.0.0","147807"
"690","img_pilot/192.png","ArrowRight","image-keyboard-response","194","2.0.0","148501"
"706","img_pilot/193.png","ArrowLeft","image-keyboard-response","195","2.0.0","149209"
"660","img_pilot/194.png","ArrowRight","image-keyboard-response","196","2.0.0","149872"
"738","img_pilot/195.png","ArrowRight","image-keyboard-response","197","2.0.0","150614"
"536","img_pilot/196.png","ArrowLeft","image-keyboard-response","198","2.0.0","151153"
"712","img_pilot/197.png","ArrowLeft","image-keyboard-response","199","2.0.0","151868"
"727","img_pilot/198.png","ArrowRight","image-keyboard-response","200","2.0.0","152598"
"564","img_pilot/199.png","ArrowLeft","image-keyboard-response","201","2.0.0","153165"
"578","img_pilot/200.png","ArrowRight","image-keyboard-response","202","2.0.0","153747"
"891","img_pilot/201.png","ArrowLeft","image-keyboard-response","203","2.0.0","154642"
"915","img_pilot/202.png","ArrowLeft","image-keyboard-response","204","2.0.0","155560"
"573","img_pilot/203.png","ArrowRight","image-keyboard-response","205","2.0.0","156136"
"678","img_pilot/204.png","ArrowRight","image-keyboard-response","206","2.0.0","156818"
"647","img_pilot/205.png","ArrowLeft","image-keyboard-response","207","2.0.0","157469"
"651","img_pilot/206.png","ArrowRight","image-keyboard-response","208","2.0.0","158124"
"806","img_pilot/207.png","ArrowLeft","image-keyboard-response","209","2.0.0","158932"
"887","img_pilot/208.png","ArrowLeft","image-keyboard-response","210","2.0.0","159822"
"723","img_pilot/209.png","ArrowLeft","image-keyboard-response","211","2.0.0","160549"
"610","img_pilot/210.png","ArrowRight","image-keyboard-response","212","2.0.0","161162"
"878","img_pilot/211.png","ArrowLeft","image-keyboard-response","213","2.0.0","162043"
"631","img_pilot/212.png","ArrowRight","image-keyboard-response","214","2.0.0","162678"
"853","img_pilot/213.png","ArrowRight","image-keyboard-response","215","2.0.0","163535"
"610","img_pilot/214.png","ArrowLeft","image-keyboard-response","216","2.0.0","164148"
"872","img_pilot/215.png","ArrowLeft","image-keyboard-response","217","2.0.0","165026"
